PubmedID,Title,PublicationDate,NonAcademicAuthors,CompanyAffiliations,CorrespondingAuthorEmail
39843734,Immune evasion through mitochondrial transfer in the tumour microenvironment.,2025 Jan 22,"Ikeda H, Kawase K, Nishi T, Watanabe T, Takenaga K, Inozume T, Ishino T, Aki S, Lin J, Kawashima S, Nagasaki J, Ueda Y, Suzuki S, Makinoshima H, Itami M, Nakamura Y, Tatsumi Y, Suenaga Y, Morinaga T, Honobe-Tabuchi A, Ohnuma T, Kawamura T, Umeda Y, Nakamura Y, Kiniwa Y, Ichihara E, Hayashi H, Ikeda JI, Hanazawa T, Toyooka S, Mano H, Suzuki T, Osawa T, Kawazu M, Togashi Y",,
39843688,Evolving Immunotherapy Strategies in Gastrointestinal Neuroendocrine Neoplasms.,2025 Jan 23,"Urman A, Schonman I, De Jesus-Acosta A",,
39841781,Safety of two-dose schedule of COVID-19 adsorbed inactivated vaccine (CoronaVac; Sinovac/Butantan) and heterologous additional doses of mRNA BNT162b2 (Pfizer/BioNTech) in immunocompromised and immunocompetent individuals.,2025,"Miyaji KT, Ibrahim KY, Infante V, Moreira RM, Santos CFD, Belizário JC, Pinto MIM, Marinho AKBB, Pereira JM, Mello LS, Silva VGLD, Sato PK, Strabelli TMV, Ragiotto L, Pacheco PHTM, Braga PE, Loch AP, Precioso AR, Sartori AMC, França JÍ, Lima MA, Ando MCS, Rodrigues CCM, Song ATW, Lara AN, Belizário AC, Lima AHSB, Zanetti ACB, Paulo ARDSA, Rosa BMDS, Moraes BDGC, Oliveira BR, Picone CM, Aranda CS, Troli CP, Kokron CM, Terrabuio DRB, Abdala E, David Neto E, Nakanishi ÉYS, Lima FMS, Firmino FB, Santos FBAD, Bacal F, Fatobene G, Santana JO, Kalil J, Barbosa J, Gonçalves LP, Otuyama LJ, Pierrotti LC, Compte LCM, Marinho L, Chaer LN, Seguro LF, Azevedo LS, Ueda MA, Terreri MT, Barros MAMT, Grecco O, Sejas ONE, Musqueira PT, Ito RKL, Teixeira SSS, Fidalgo S, Costa SF, Campos SV, Fernandes TH, Rocha VG, Coelho VC",,
39840932,Microfluidics Based Particle and Droplet Generation for Gene and Drug Delivery Approaches.,2025 Feb,"Onan D, Özder M, Sipahi Mİ, Poyraz N, Apaydın C, Erel-Akbaba G, Akbaba H",,
39840832,Immunogenicity of the 9-valent human papillomavirus vaccine: Post hoc analysis from five phase 3 studies.,2025 Dec,"Giuliano AR, Palefsky JM, Goldstone SE, Bornstein J, De Coster I, Guevara AM, Mogensen O, Schilling A, Van Damme P, Vandermeulen C, Ellison MC, Kaplan S, Lin J, Bonawitz R, Luxembourg A",,
39840607,DNA Nanostructures-Based In Situ Cancer Vaccines: Mechanisms and Applications.,2025 Jan 22,"Lin B, Liu Y, Chen Q, Li M, Xu L, Chen Q, Tan Y, Liu Z",,
39840201,"Human Papillomavirus Vaccination in Adult Survivors of Childhood, Adolescent, and Young Adult Cancers: A Missed Opportunity.",2024 Dec,"Dagli CS, Tobo BB, Nair M, Al-Antary N, Tam SH, Osazuwa-Peters N, Adjei Boakye E",,
39840069,Virus-like particle: a nano-platform that delivers cancer antigens to elicit an anti-tumor immune response.,2024,"Ning W, Yan S, Song Y, Xu H, Zhang J, Wang X",,
39840067,"VACCIMEL, an allogeneic melanoma vaccine, efficiently triggers T cell immune responses against neoantigens and alloantigens, as well as against tumor-associated antigens.",2024,"Carri I, Schwab E, Trivino JC, von Euw EM, Nielsen M, Mordoh J, Barrio MM",,
39840027,A Qualitative Study of Attitudes Toward HPV Vaccine Recommendation in Otolaryngology Clinics.,2025 Feb,"Janio EA, Walker C, Steere E, Seaman AT, Askelson N, Pagedar NA",,
39839455,Utility of (131)I-HLX58-Der for the Precision Treatment: Evaluation of a Preclinical Radio-Antibody-Drug-Conjugate Approach in Mouse Models.,2025,"Liu Y, Wang X, Zhang N, He S, Zhang J, Xu X, Song S",,
39838750,A Universal Therapeutic Vaccine Leveraging Autologous Pre-Existing Immunity to Eliminate in Situ Uniformly Engineered Heterogeneous Tumor Cells.,2025 Jan 21,"Wu F, Guo Z, Yang J, Ou Y, Xie X, Liao H, Guo C, Zhan Y, Wu H, Hu R, Xu Y, Tang X, Wang H, Ye L, He P, He C, Huang L, Luo S, Sun X, Yang Z",,
39838661,Nanoparticles as Delivery Vehicles for Vaccines: The Use of Gold Nanoparticles.,2025 Jan 20,"Kizilbash N, Suhail N, Soliman M, Elmagzoub RM, Marsh M, Farooq R",,
39838402,"Knowledge, attitude, and reasons for non-uptake of human papilloma virus vaccination among nursing students.",2025 Jan 21,"Chauhan S, Tiwari SK, Dubey V, Tripathi P, Pandey P, Singh A, Choudhary NPS",,
39837585,Triple M overlap syndrome following pembrolizumab treatment: importance of multidisciplinary approach.,2025 Jan 20,"Gómez L, Lozano T, Jovani V, Martínez-Banaclocha N",,
39837068,Dendritic cells in triple-negative breast cancer: From pathophysiology to therapeutic applications.,2025 Jan 13,"Sebastião AI, Simões G, Oliveira F, Mateus D, Falcão A, Carrascal MA, Gomes C, Neves B, Cruz MT",,
39835785,High unmet needs for cervical cancer screening among women living with HIV in six African countries: A population-based study.,2025 Jan 21,"Alpar AD, Ndiaye C, Guillaume D, Limaye RJ, Rosen JG",,
39835299,Age-associated alterations in immune and inflammatory responses in captive olive baboons (Papio anubis).,2024,"Mulholland MM, Nehete BP, DeLise A, Achorn AM, Pytka LM, Nehete PN",,
39835239,Persistence of SARS-CoV-2 Antibodies for a Year Following SARS-CoV-2 Vaccinations (BBV152 and ChAdOx1 nCoV-19).,2025 Jan,"Dwivedi T, Raj A, Das N, Gupta R, Bhatnagar S, Mohan A, Guleria R",,
39835236,Potential Effect of Extracellular Vesicles in Clinical Settings of Lymphoma.,2025 Jan,"Mamgain G, Yadav SRM",,
39834993,"Knowledge, Attitudes, and Perceptions of African Parents in New Zealand Towards the Human Papillomavirus Vaccine.",2024 Dec,"Akoro U, Stuart G",,
39834615,Impact of a national HPV vaccination programme for preadolescent girls on cytology screening performance and CIN2+ incidence: five-year population-based cervical screening results from Slovenia.,2025 Mar,"Irzaldy A, Jerman T, de Kok IMCM, Hontelez JAC, de Koning HJ, Jansen EEL, Ivanuš U",,
39834347,Fabrication and functional validation of a hybrid biomimetic nanovaccine (HBNV) against Kit (K641E) -mutant melanoma.,2025 Apr,"Poudel K, Ji Z, Njauw CN, Rajadurai A, Bhayana B, Sullivan RJ, Kim JO, Tsao H",,
39833784,Advances in nucleic acid-based cancer vaccines.,2025 Jan 21,"Liao HC, Liu SJ",,
39833677,Effectiveness of HPV vaccination in reducing infection among young Brazilian women.,2025 Jan 20,"Santos ACDS, Silva NNT, da Silva IDCG, Carneiro M, Coura-Vital W, Lima AA",,
39833675,Investigating assumptions in motivational interviewing among general practitioners: a qualitative study.,2025 Jan 20,"Aujoulat P, Manac'h A, Le Reste C, Le Goff D, Le Reste JY, Barais M",,
39833605,Variants and vaccines impact nasal immunity over three waves of SARS-CoV-2.,2025 Jan 20,"Walsh JML, Miao VN, Owings AH, Tang Y, Bromley JD, Kazer SW, Kimler K, Asare C, Ziegler CGK, Ibrahim S, Jivanjee T, George M, Navia AW, Drake RS, Parker A, Billingsley BC, Dotherow P, Tarugu S, Kota SK, Laird H, Wichman TG, Davis YT, Dhaliwal NS, Pride Y, Guo Y, Senitko M, Harvey J, Bates JT, Diamond G, Garrett MR, Robinson DA, Frame IJ, Lyons JJ, Robinson TO, Shalek AK, Horwitz BH, Glover SC, Ordovas-Montanes J",,
39833468,Harnessing antiviral RNAi therapeutics for pandemic viruses: SARS-CoV-2 and HIV.,2025 Jan 20,"Bowden-Reid E, Moles E, Kelleher A, Ahlenstiel C",,
39832988,"Spatiotemporal dynamics and prevention strategies of cervical cancer incidence in Addis Ababa, Ethiopia: an ecological study.",2025 Jan 20,"Shimels T, Kantelhardt EJ, Assefa M, Fenta TG",,
39832967,"Adaptive clinical trial of AZD7442 and SARS-CoV-2 vaccination in immunosuppressed patients highly vulnerable to infection with SARS-CoV-2 virus (RAPID-PROTECTION): protocol for a multicentre, interventional open-label, randomised controlled trial.",2025 Jan 20,"Varley M, Euden J, Adams R, Barnes E, Bodman C, Choy E, Cicconi P, Dagley V, Ewer K, Griffin S, Harris D, Hill A, Hood K, Knapper S, Pringle S, Porter C, Ottensmeier CH, Raisanen L, Ray R, Tangney R, Wilson K, Nixon LS, Thomas-Jones E, Tuthill M",,
39832761,Unilateral lower extremity lymphedema followed by COVID-19 vaccination in patients with cervical cancer history: two case reports.,2025,"Jung JI, Cho HK",,
39832699,Manganese Dioxide-based In Situ Vaccine Boosts Antitumor Immunity via Simultaneous Activation of Immunogenic Cell Death and the STING Pathway.,2025 Jan 18,"Peng P, Cao J, Cheng W, Ming H, He B, Duan X, Li L, Tian Y, Nice EC, Zhang Z, Huang C, Zheng S",,
39832457,HeterologousPrime-Boost immunizationwithAdenoviral vector and recombinant subunit vaccines strategies against dengue virus type2.,2025 Jan 19,"Shoushtari M, Salehi-Vaziri M, Kadkhodazadeh M, Teimoori A, Arashkia A, Roohvand F, Teimoori-Toolabi L, Pouriayevali MH, Azadmanesh K",,
39832296,Retraction: Transient activation of the PI3K/Akt pathway promotes Newcastle disease virus replication and enhances anti-apoptotic signaling responses.,2025 Jan 20,"Kang Y, Yuan R, Zhao X, Xiang B, Gao S, Gao P, Dai X, Feng M, Li Y, Xie P, Li Y, Gao X, Ren T",,
39832278,Characterization of Tumor Antigens from Multi-omics Data: Computational Approaches and Resources.,2025 Jan 20,"Wang Y, Wengler J, Fang Y, Zhou J, Ruan H, Zhang Z, Han L",,
39831945,Navigating HPV Vaccination: a Qualitative Study on Chinese Women's Decision-Making Experiences.,2025 Jan 20,"Li D, Zhang W, Stinson J, Jibb L, Killackey T, Pope N, Wu F, Yuan C",,
39831778,Bacteria as Precision Tools for Cancer Therapy.,2025 Jan,"Michán C, Prados J, Ramos JL",,
39831700,ATAC-Seq Library Preparation of Murine Bone Marrow-Derived Neutrophils.,2025 Jan 3,"Zhang J, Tong S, Liang S, Li F, Zhang C, Ding N, Hao Y",,
39831303,An integrated approach for the accurate detection of HERV-K HML-2 transcription and protein synthesis.,2025 Jan 11,"Gleason C, Terry SN, Hernandez MM, Jacob S, Fenyo D, Johnson JR, Deikus G, Francoeur N, Hahn A, Sebra R, Zamarin D, Molina H, Simon V, Mulder LCF",,
39830952,The impact of KRAS mutations on the clinical outcome and immune response following immunotherapy for pancreatic cancer.,2024 Jun 30,"Christenson ES, Yu R, Gai J, Wang H, Lei M, Zheng L",,
39830896,scRNA-seq reveals elevated interferon responses and TNF-α signaling via NFkB in monocytes in children with uncomplicated malaria.,2024,"Morang'a CM, Drake RS, Miao VN, Nyakoe NK, Amuzu DSY, Appiah V, Aniweh Y, Bediako Y, Bah SY, Shalek AK, Awandare GA, Otto TD, Amenga-Etego L",,
39830517,A self-assembled nanoparticle vaccine elicits effective neutralizing antibody response against EBV infection.,2024,"Li P, Jiang Z, Shi J, Sha H, Yu Z, Zhao Y, Han S, Ma L",,
39830516,GM-CSF and IL-21-armed oncolytic vaccinia virus significantly enhances anti-tumor activity and synergizes with anti-PD1 immunotherapy in pancreatic cancer.,2024,"Xuan Y, Yan W, Wang R, Wang X, Guo Y, Dun H, Huan Z, Xu L, Han R, Sun X, Si L, Lemoine NR, Wang Y, Wang P",,
39829889,Optimizing the Efficacy of Vaccine-Induced Immunotherapy in Melanomas.,2025 Jan 8,"Chamseddine I, Kambara M, Bhatt P, Pilon-Thomas S, Rejniak KA",,
39829682,Targeting ROR2 homooligomerization disrupts ROR2-dependent signaling and suppresses stem-like cell properties of human breast adenocarcinoma.,2025 Jan 17,"Leng F, Huang J, Wu L, Zhang J, Lin X, Deng R, Zhu J, Li Z, Li Z, Wang Y, Zhang H, Lu D, Kipps TJ, Zhang S",,
39828431,"The Linda Kizazi study: a comparison of morbidity and mortality from birth to 2 years between children who are HIV-unexposed and HIV-exposed, uninfected in the era of universal antiretroviral therapy.",2025 Jan 19,"Begnel ER, Ojee E, Adhiambo J, Mabele E, Wandika B, Ogweno V, Lim ES, Gantt S, Kinuthia J, Lehman DA, Slyker J, Wamalwa D",,
39827422,Tumor microenvironment noise-induced polarization: the main challenge in macrophages' immunotherapy for cancer.,2025 Jan 19,"Sierra J, de León UA, Padilla-Longoria P",,
39827246,TLR7/8/9 agonists and low-dose cisplatin synergistically promotes tertiary lymphatic structure formation and antitumor immunity.,2025 Jan 19,"Wu S, Xiang R, Zhong Y, Zhao S, Zhang Z, Kou Z, Zhang S, Zhao Y, Zu C, Zhao G, Xiao Y, Ren S, Gao X, Wang B",,
39827205,HLA I immunopeptidome of synthetic long peptide pulsed human dendritic cells for therapeutic vaccine design.,2025 Jan 18,"Kessler AL, Pieterman RFA, Doff WAS, Bezstarosti K, Bouzid R, Klarenaar K, Jansen DTSL, Luijten RJ, Demmers JAA, Buschow SI",,
39827147,"Present and future of cancer nano-immunotherapy: opportunities, obstacles and challenges.",2025 Jan 18,"Wang M, Yu F, Zhang Y",,
39826256,homeRNA self-blood collection enables high-frequency temporal profiling of presymptomatic host immune kinetics to respiratory viral infection: a prospective cohort study.,2025 Jan 17,"Lim FY, Lea HG, Dostie AM, Kim SY, van Neel TL, Hassan GW, Takezawa MG, Starita LM, Adams KN, Boeckh M, Schiffer JT, Hyrien O, Waghmare A, Berthier E, Theberge AB",,
39826253,"Healthcare provider perspectives on integrating HIV care into cancer centers in Malawi, South Africa, Uganda, and Zimbabwe.",2025 Jan 17,"Montaño MA, Jatho A, Nassolo C, Mugisha N, Bula A, Chagomerana MB, Borok M, Mtisi TJ, Joffe M, Bender Ignacio RA, Ndlovu N",,
39825496,The mRNA-1647 vaccine: A promising step toward the prevention of cytomegalovirus infection (CMV).,2025 Dec,"Akingbola A, Adegbesan A, Adewole O, Adegoke K, Benson AE, Jombo PA, Uchechukwu Eboson S, Oluwasola V, Aiyenuro A",,
39825347,M cells targeted H. pylori antigen SAM-FAdE displayed on bacterium-like particles induce protective immunity.,2025 Jan 18,"Zhang F, Chen J, Zhang Z, Wu J, Qu Y, Ni L, Zhang G, Liu K, Guo L",,
39825152,Tucatinib and trastuzumab in HER2-mutated metastatic breast cancer: a phase 2 basket trial.,2025 Jan 17,"Okines AFC, Curigliano G, Mizuno N, Oh DY, Rorive A, Soliman H, Takahashi S, Bekaii-Saab T, Burkard ME, Chung KY, Debruyne PR, Fox JR, Gambardella V, Gil-Martin M, Hamilton EP, Monk BJ, Nakamura Y, Nguyen D, O'Malley DM, Olawaiye AB, Pothuri B, Reck M, Sudo K, Sunakawa Y, Van Marcke C, Yu EY, Ramos J, Tan S, Bieda M, Stinchcombe TE, Pohlmann PR",,
39825073,Immunogenic dying cells elicit potent anti-tumor T cell immunity against lung metastasis and tumorigenesis.,2025 Jan 18,"Hu M, Meng X, Wang T, Wang Y, Chen X, Xu D, He W, Zhang H, Guo W, Jing B, Zhang S, Xu J, Sun B, Sun X, Liu T, Ni N, Zhang T, Cui W, Wu X, Xia L, Yao F, Zhang F, Du J, Deng J",,
39825048,Cancer vaccines.,2025 Jan,,,
39825031,The Effects of Motivational Interviewing on Promoting Human Papillomavirus Vaccination Initiation and Completion Among South Asian Mother/Daughter Dyads: A Pilot Randomised Controlled Trial.,2025 Jan 17,"Chan DNS, Choi KC, Lee PPK, So WKW",,
39824819,Neutralizing antibody immune correlates in COVAIL trial recipients of an mRNA second COVID-19 vaccine boost.,2025 Jan 17,"Zhang B, Fong Y, Dang L, Fintzi J, Chen S, Wang J, Rouphael NG, Branche AR, Diemert DJ, Falsey AR, Graciaa DS, Baden LR, Frey SE, Whitaker JA, Little SJ, Kamidani S, Walter EB, Novak RM, Rupp R, Jackson LA, Yu C, Magaret CA, Molitor C, Borate B, Busch S, Benkeser D, Netzl A, Smith DJ, Babu TM, Kottkamp AC, Luetkemeyer AF, Immergluck LC, Presti RM, Bäcker M, Winokur PL, Mahgoub SM, Goepfert PA, Fusco DN, Atmar RL, Posavad CM, Mu J, Makowski M, Makhene MK, Nayak SU, Roberts PC, Gilbert PB, Follmann D",,
39824349,Human Papillomavirus Vaccination at Age 9: Developments and Opportunities in the Field.,2025 Jan 15,"Kong WY, Gilkey MB",,
39824328,Optimizing mRNA translation efficiency through rational 5'UTR and 3'UTR combinatorial design.,2025 Jan 15,"Li T, Liu G, Bu G, Xu Y, He C, Zhao G",,
39823848,Mucosal immunity elicited by a human-Fcγ receptor-I targeted intranasal vaccine platform enhances resistance against nasopharyngeal colonization of Streptococcus pneumoniae and induces broadly protective immunity against respiratory pathogens.,2025 Jan 16,"Kumar S, Hazlett K, Bai G",,
39823318,Architects of immunity: How dendritic cells shape CD8(+) T cell fate in cancer.,2025 Jan 17,"Bhandarkar V, Dinter T, Spranger S",,
39823279,Computational approaches of modelling human papillomavirus transmission and prevention strategies: a systematic review.,2025 Dec,"Wang W, Sawleshwarkar S, Piraveenan M",,
39823099,GX-188E DNA vaccine plus pembrolizumab in HPV 16- and/or 18-positive recurrent or advance cervical cancer: a phase 2 trial.,2024 Aug,"Lim MC, Choi YJ, Hur SY, Kim YM, No JH, Kim BG, Cho CH, Kim SH, Jeong DH, Lee JK, Kim JH, Choi YJ, Woo JW, Sung YC, Park JS",,
39821269,Childhood vaccinations and the risk of leukemia: A nationwide cohort study.,2025 Jan 16,"Alberts A, Kjaer SK, Søegaard SH, Winther JF, Schmiegelow K, Sopina L, Erdmann F, Hargreave M",,
39821171,Novel methotrexate long-acting system using ambroxol coating and hydroxypropyl methylcellulose encapsulation for preferential and enhanced lung cancer efficiency.,2025,"Abdullah S, Altwaijry N, Alnakhli M, ALenezi G, Al-Masud AA, Henidi H, Jamous YF",,
39821151,Author Correction: Dual blockade of IL-10 and PD-1 leads to control of SIV viral rebound following analytical treatment interruption.,2025 Jan 16,"Pereira Ribeiro S, Strongin Z, Soudeyns H, Ten-Caten F, Ghneim K, Pacheco Sanchez G, Xavier de Medeiros G, Del Rio Estrada PM, Pelletier AN, Hoang T, Nguyen K, Harper J, Jean S, Wallace C, Balderas R, Lifson JD, Raghunathan G, Rimmer E, Pastuskovas CV, Wu G, Micci L, Ribeiro RM, Chan CN, Estes JD, Silvestri G, Gorman DM, Howell BJ, Hazuda DJ, Paiardini M, Sekaly RP",,
39820690,Cost-Effectiveness of Noninvasive Colorectal Cancer Screening in Community Clinics.,2025 Jan 2,"Nascimento de Lima P, Matrajt L, Coronado G, Escaron AL, Rutter CM",,
39820560,Author Correction: Enhancing the immunogenicity of lipid-nanoparticle mRNA vaccines by adjuvanting the ionizable lipid and the mRNA.,2025 Jan 16,"Li B, Jiang AY, Raji I, Atyeo C, Raimondo TM, Gordon AGR, Rhym LH, Samad T, MacIsaac C, Witten J, Mughal H, Chicz TM, Xu Y, McNamara RP, Bhatia S, Alter G, Langer R, Anderson DG",,
39819599,"The incidence, mortality, and survival rate of colorectal cancer in Xiamen, China, from 2011 to 2020.",2025 Jan 16,"Qiu L, Luo W, Chen Y, Guo Z, Quan J, Chi J, Guan Y, Huang Y, Lin Y",,
39818308,STAT3 Orchestrates Immune Dynamics in Hepatocellular Carcinoma: A Pivotal Nexus in Tumor Progression.,2025 Jan 14,"Zhang AC, Songbai HU, Yin C, Wang G, Liu P",,
39818235,Can microbiota gut-brain axis reverse neurodegenerative disorders in human?,2025 Jan 14,"Xingxing Y, Ouedraogo SY, Jammeh ML, Simbiliyabo L, Jabang JN, Jaw M, Darboe A, Tan Y, Bajinka O",,
39817910,Antigen affinity and site of immunization dictate B cell recall responses.,2025 Jan 15,"Termote M, Marques RC, Hyllner E, Guryleva MV, Henskens M, Brutscher A, Baken IJL, Dopico XC, Gasull AD, Murrell B, Stamatatos L, Westerberg LS, Dosenovic P",,
39817771,Resistance mutations that distinguish HIV-1 envelopes with discordant VRC01 phenotypes from multi-lineage infections in the HVTN703/HPTN081 trial: implications for cross-resistance.,2025 Jan 16,"Cohen P, Lambson BE, Mkhize NN, Moodley C, Yssel AEJ, Moyo-Gwete T, York T, Gwashu-Nyangiwe A, Ndabambi N, Thebus R, Juraska M, deCamp AC, Williamson BD, Magaret CA, Gilbert PB, Westfall D, Deng W, Mullins JI, Morris L, Williamson C, Moore PL",,
39817770,Vaccinia growth factor-dependent modulation of the mTORC1-CAD axis upon nutrient restriction.,2025 Jan 16,"Dsouza L, Pant A, Pope B, Yang Z",,
39817387,"Novel Strategies for the Treatment of Lung Cancer: An In-depth Analysis of the Use of Immunotherapy, Precision Medicine, and Artificial Intelligence to Improve Prognoses.",2025 Jan 14,"Kedar P, Bhattacharya S, Kanugo A, Prajapati BG",,
39816687,Optimized circular RNA vaccines for superior cancer immunotherapy.,2025,"Yu H, Wen Y, Yu W, Lu L, Yang Y, Liu C, Hu Z, Fang Z, Huang S",,
39815764,"New Horizons in Menopause, Menopausal Hormone Therapy, and Alzheimer's Disease: Current Insights and Future Directions.",2025 Jan 16,"Mosconi L, Nerattini M, Williams S, Fink M",,
39815240,Endocervical adenocarcinomas and HPV genotyping in an HIV endemic milieu - a retrospective study.,2025 Jan 15,"Lovane L, Larsson GL, Tulsidás S, Carrilho C, Andersson S, Karlsson C",,
39815194,Prevalence and influencing factors of occupational burnout among healthcare workers in the Chinese mainland during the late 2022 Omicron COVID-19 outbreak: a multicenter cross-sectional study.,2025 Jan 15,"Jing S, Dai Z, Wu Y, Liu X, Zhang L, Liu X, Ren T, Fu J, Chen X, Wang W, Gu X, Ma L, Zhang S, Yu Y, Li L, Han Z, Su X, Qiao Y",,
39814891,IL-33-activated ILC2s induce tertiary lymphoid structures in pancreatic cancer.,2025 Jan 15,"Amisaki M, Zebboudj A, Yano H, Zhang SL, Payne G, Chandra AK, Yu R, Guasp P, Sethna ZM, Ohmoto A, Rojas LA, Cheng C, Waters T, Solovyov A, Martis S, Doane AS, Reiche C, Bruno EM, Milighetti M, Soares K, Odgerel Z, Moral JA, Zhao JN, Gönen M, Gardner R, Tumanov AV, Khan AG, Vergnolle O, Nyakatura EK, Lorenz IC, Baca M, Patterson E, Greenbaum B, Artis D, Merghoub T, Balachandran VP",,
39814680,Self-assembled palmitic acid-modified thymopentin functions as a delivery system of nanovaccine for cancer immunotherapy.,2025 Jan 15,"Chen D, Ye X, Xu R, Li W, Xiao Y, Niu X, Yang X, Wang M, Su Y, Zeng W, Luo F, Gao Y",,
39813871,"Glycogen synthase kinase-3ß inhibitor use and prostate cancer incidence in Manitoba, Canada: A population-based nested case-control study.",2025 Jan 14,"Righolt CH, Sever E, Mahmud SM",,
39813112,The Icarian flight of antibody-drug conjugates: target selection amidst complexity and tackling adverse impacts.,2025 Jan 15,"Liu H, Zeng H, Qin X, Ning W, Xu L, Yang S, Liu X, Luo W, Xia N",,
39812959,Potential and development of cellular vesicle vaccines in cancer immunotherapy.,2025 Jan 15,"Zhao W, Li X, Guan J, Yan S, Teng L, Sun X, Dong Y, Wang H, Tao W",,
39812306,"Association Between Herpes Simplex Virus Type II and High-Risk Human Papillomavirus Infections: A Population Study of the National Health and Nutrition Examination Survey, 2009-2016.",2025 Jan 15,"Liu C, Guo Y, Wang L, Guo R, Lei D",,
39812113,Naturally Acquired Genotype-Specific HPV Seroreactivity and Subsequent HPV Detection Among Heterosexual Partners.,2025 Jan,"Ng K, El-Zein M, Wissing MD, Burchell AN, Tellier PP, Coutlée F, Waterboer T, Franco EL",,
39811977,An OMV-Based Nanovaccine as Antigen Presentation Signal Enhancer for Cancer Immunotherapy.,2025 Jan 15,"Lu Y, Ma N, Cheng K, Liu G, Liang J, Xu C, Li D, Cao C, Gao X, Chen L, Wang X, Wang Y, Zhao X, Jiang K",,
39811671,CD137 agonism enhances anti-PD1 induced activation of expanded CD8(+) T cell clones in a neoadjuvant pancreatic cancer clinical trial.,2025 Jan 17,"Montagne JM, Mitchell JT, Tandurella JA, Christenson ES, Danilova LV, Deshpande A, Loth M, Sidiropoulos DN, Davis-Marcisak E, Bergman DR, Zhu Q, Wang H, Kagohara LT, Engle LL, Green BF, Favorov AV, Ho WJ, Lim SJ, Zhang R, Li P, Gai J, Mo G, Mitchell S, Wang R, Vaghasia A, Hou W, Xu Y, Zimmerman JW, Elisseeff JH, Yegnasubramanian S, Anders RA, Jaffee EM, Zheng L, Fertig EJ",,
39811495,Restoring hematopoietic stem and progenitor cell function in Fancc (-/-) mice by in situ delivery of RNA lipid nanoparticles.,2025 Mar 11,"Banda O, Adams SE, Omer L, Jung SK, Said H, Phoka T, Tam Y, Weissman D, Rivella S, Alameh MG, Kurre P",,
39811281,A non-randomised open-label exploratory 'window of opportunity' study of TG02 treatment in patients with locally advanced primary and recurrent RAS mutant colorectal cancer.,2025 Jan 15,"Roth S, Wilson KC, Ramsay RG, Mitchell C, Sampurno S, Pham TD, Huei Kong JC, Wong SQ, Heriot AG, Deva S, Burge M, Sverdrup C, Moller AS, Kuryk L, Eriksen JA, Jaderberg M, Zalcberg JR, Michael M",,
39810489,The Roles of Ninjurin1 and Estrogen in Modulating AOM/DSS-Induced Colitis-Associated Colorectal Cancer in Male Mice.,2025 Jan 13,"Song CH, Kim N, Nam RH, Jang JY, Kim EH, Ha S, Shin E, Lee HN, Choi H, Kim KW, Jeon S, Oh GT",,
39808947,"Estimating the ovarian cancer CA-125 preclinical detectable phase, in-vivo tumour doubling time, and window for detection in early stage: an exploratory analysis of UKCTOCS.",2025 Jan 13,"Bedia JS, Jacobs IJ, Ryan A, Gentry-Maharaj A, Burnell M, Singh N, Manchanda R, Kalsi JK, Dawnay A, Fallowfield L, McGuire AJ, Campbell S, Parmar MKB, Menon U, Skates SJ",,
39808648,Acceptability of a dapivirine levonorgestrel vaginal ring in two Phase 1 trials (MTN-030/IPM 041 and MTN-044/IPM 053/CCN019): Implications for multipurpose prevention technology development.,2025,"Friedland BA, Gundacker H, Achilles SL, Chen BA, Hoesley C, Richardson BA, Kelly CW, Piper J, Johnson S, Devlin B, Steytler J, Kleinbeck K, Dangi B, Friend C, Song M, Mensch B, van der Straten A, Jacobson C, Hendrix CW, Brown J, Blithe D, Hiller SL",,
39808304,Clinical outcome of BCG treatment for patients with urothelial carcinoma of the prostatic urethra: Implications for early cystectomy.,2025 Jan 14,"Yamashita R, Sugino T, Notsu A, Ito K, Sakura Y, Shinsaka H, Matsuzaki M, Niwakawa M, Kikuchi E",,
39808221,"Study of the Prevalence of Human Papillomavirus Genotypes in Jeddah, Saudi Arabia.",2025 Jan 14,"El-Daly MM, Faizo AA, Madkhali SA, Aldardeir NF, Badroon NA, Uthman NA, Alqawas RT, Mousa AA, Turkistani SA, Azhar EI",,
39807477,Immunogenicity of bivalent versus monovalent mRNA booster vaccination among adult paramedics in Canada who had received three prior mRNA wild-type doses.,2025,"Asamoah-Boaheng M, Goldfarb DM, Kayda I, Yap J, Kirkham T, Karim ME, Demers P, Copp JM, Grunau B",,
39806831,Tumor-Resident Intracellular Bacteria Scavenger Activated In Situ Vaccines for Potent Cancer Photoimmunotherapy.,2025 Jan 13,"Lv B, Zhao Y, Li G, Jiang H, Zhang M, Li Z, Cao J",,
39806745,Recent advances in HPV biotechnology: understanding host-virus interactions and cancer progression - a review.,2024 Dec 1,"Yousaf S, Shehzadi A, Ahmad M, Asrar A, Ahmed I, Iqbal HMN, Hussen Bule M",,
